id,name,proposed name,2.0,1.45,xml,POG,PAG,comment
301,L1_DoubleJet30_Mass_Min400_Mu6,L1_DoubleJet30_Mj30j30_400_Mu6,0,1,x,PHY,HIG,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
302,L1_DoubleJet30_Mass_Min400_Mu10,L1_DoubleJet30_Mj30j30_400_Mu10,0,1,x,PHY,HIG,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
303,L1_IsoEG18er2p1_IsoTau24er2p1_dEta_Min0p2,L1_IsoEG18er_IsoTau24er_dEta_Min0p2,0,1,x,PHY,HIG,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
304,L1_IsoEG20er2p1_IsoTau25er2p1_dEta_Min0p2,L1_IsoEG20er_IsoTau25er_dEta_Min0p2,0,1,x,PHY,HIG,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
305,L1_IsoEG22er2p1_IsoTau26er2p1_dEta_Min0p2,L1_IsoEG22er_IsoTau26er_dEta_Min0p2,1,1,x,PHY,HIG,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
306,L1_Mu16er2p1_Tau20er2p1,L1_Mu16er_Tau20er,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-82
307,L1_Mu16er2p1_Tau24er2p1,L1_Mu16er_Tau24er,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-82
308,L1_Mu18er2p1_Tau20er2p1,L1_Mu18er_Tau20er,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-82
309,L1_Mu18er2p1_Tau24er2p1,L1_Mu18er_Tau24er,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-82
310,L1_Mu18er2p1_IsoTau26er2p1,L1_Mu18er_IsoTau26er,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-82
311,L1_Mu20er2p1_IsoTau26er2p1,L1_Mu20er_IsoTau26er,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-82
315,L1_Mu6_HTT240er,L1_Mu6_HTT240,1,1,x,PHY,SUS,Susy:
316,L1_Mu6_HTT250er,L1_Mu6_HTT250,1,1,x,PHY,SUS,Susy:
317,L1_Mu15_HTT100er,L1_Mu15_HTT100,1,1,x,PHY,SUS,Susy:
318,L1_DoubleMu0_ETMHF40c_Jet60_OR_DoubleJet30,L1_DoubleMu0_ETMHF40_Jet60ORDiJet30,0,0,x,PHY,SUS,Susy:
319,L1_DoubleMu0_ETMHF50c_Jet60_OR_DoubleJet30,L1_DoubleMu0_ETMHF50_Jet60ORDiJet30,0,1,x,PHY,SUS,Susy:
320,L1_DoubleMu0_ETMHF60c_Jet60_OR_DoubleJet30,L1_DoubleMu0_ETMHF60_Jet60ORDiJet30,0,1,x,PHY,SUS,Susy:
321,L1_DoubleMu0_ETMHF70c_Jet60_OR_DoubleJet30,L1_DoubleMu0_ETMHF70_Jet60ORDiJet30,1,1,x,PHY,SUS,Susy:
